CCLE_ID,depMapID,Name,Pathology,Site_Primary,Site_Subtype1,Site_Subtype2,Site_Subtype3,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Gender,Life_Stage,Age,Race,Geo_Loc,inferred_ethnicity,Site_Of_Finding,Disease,Annotation_Source,OriginalSourceofCellLine,Characteristics,GrowthMedium,Supplements,FreezingMedium,DoublingTimefromVendor,DoublingTimeCalculatedhrs,type,type_refined,PATHOLOGIST_ANNOTATION,mutRate,tcga_code,NameAstra
COLO205_LARGE_INTESTINE,-1039,"COLO 205",metastasis,large_intestine,colon,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,70,caucasian,<undefined>,Caucasian,ascites,colon_cancer,CCLE,NA,"NA","NA","NA",NaN,NA,NaN,colorectal,colorectal,NA,NaN,COAD/READ,COLO205
SNU449_LIVER,-420,"SNU-449",primary,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS,male,<undefined>,52,asian,korea,Asian,<undefined>,hepatocellular_cancer,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,liver,liver,Liver:HCC,153.5990748,LIHC,
NCIH28_PLEURA,-648,"NCI-H28",metastasis,pleura,NS,NS,NS,mesothelioma,NS,NS,NS,male,<undefined>,48,caucasian,<undefined>,African_american,pleura,<undefined>,CCLE,ATCC,"adherent","RPMI+10%FBS","NA",10,<undefined>,81.2,mesothelioma,mesothelioma,Lung:Mesothelioma,144.0712209,MESO,
OV56_OVARY,-91,"OV56",primary,ovary,NS,NS,NS,carcinoma,NS,NS,NS,female,<undefined>,46,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ECACC,"adherent epithelial","DMEM:HAM's F12  1:1  +5% FBS","0.5 ug/ml hydrocortisone + 10ug/ml insulin",5,<undefined>,148.6,ovary,ovary,Ovary:Carcinoma,85.71718592,OV,
JHOS4_OVARY,-584,"JHOS-4",primary,ovary,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,44,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,RIKEN,"<undefined>","DMEM:F12 + 10% FBS","0.1 mM NEAA",5,<undefined>,127.3,ovary,ovary,Ovary:Carcinoma,160.5655743,OV,
KYSE450_OESOPHAGUS,-865,"KYSE-450",primary,oesophagus,middle_third,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS,male,<undefined>,59,asian,japan,Asian,<undefined>,well differentiated invasive eosphageal squamous cell carcinoma,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,~ 30 hrs,NaN,esophagus,esophagus,Oesophagus:Carcinoma,324.7573697,ESCA,
RMUGS_OVARY,-701,"RMUG-S",primary,ovary,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,62,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,ovary,ovary,Ovary:Carcinoma,178.9165928,OV,
KLE_ENDOMETRIUM,-293,"KLE",primary,endometrium,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,64,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,70.2,endometrium,endometrium,Endometrium:Carcinoma,96.20381721,UCEC,
HS895T_FIBROBLAST,-43,"Hs 895.T",metastasis,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,female,<undefined>,48,caucasian,<undefined>,Caucasian,lung,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,melanoma,fibroblast_like,Skin:Melanoma,56.09099205,SKCM,
LN229_CENTRAL_NERVOUS_SYSTEM,-595,"LN-229",primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma_Grade_IV,glioblastoma_multiforme,NS,female,<undefined>,60,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,glioma,glioma,CNS:Glioma_HighGrade,139.4221578,GBM,
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-770,"P31/FUJ",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5,NS,male,<undefined>,NaN,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"lymphocyte-like","RPMI 1640 medium with 10% fetal calf serum","NA",NaN,NA,NaN,AML,AML,Leukemia:AML,220.9309703,LAML,
RKN_SOFT_TISSUE,-505,"RKN",primary,soft_tissue,smooth_muscle,ovary,NS,leiomyosarcoma,NS,NS,NS,female,<undefined>,45,asian,japan,Asian,<undefined>,<undefined>,CCLE,HSSRB,"epithelial-like","Han's F12 medium 90% with 10% fetal bovine serum","NA",NaN,NA,NaN,ovary,ovary,Soft_Tissue:Sarcoma_Leiomyo,165.9472722,SARC,
PATU8988S_PANCREAS,-22,"PA-TU-8988S",metastasis,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,<undefined>,64,<undefined>,<undefined>,Caucasian,liver,<undefined>,CCLE,DSMZ,"Adherent epitheloid cells in monolayer","DMEM + 10%FBS","2mM L-Glutamine",10,<undefined>,110,pancreas,pancreas,Pancreas:Carcinoma,82.48705026,PAAD,
NH6_AUTONOMIC_GANGLIA,-203,"NH-6",primary,autonomic_ganglia,NS,NS,NS,neuroblastoma,NS,NS,NS,female,<undefined>,0.75,<undefined>,<undefined>,Asian,<undefined>,neuroblastoma,CCLE,HSSRB,"fibroblast-like","alpha-MEM with 10% fetal calf serum","NA",NaN,NA,NaN,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,115.6076715,NB,
SF126_CENTRAL_NERVOUS_SYSTEM,-609,"SF126",primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,HSSRB,"fibroblast-like","Eagle's minimal essential medium with 10% fetal bovine serum","NA",NaN,NA,NaN,glioma,glioma,CNS:Glioma,136.2988662,GBM,
RERFLCAD2_LUNG,-774,"RERF-LC-Ad2",primary,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,NaN,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"adherent epithelial-like","RPMI-1640+10% FBS","NA",5,<undefined>,70.1,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,215.9785902,LUAD,
OUMS23_LARGE_INTESTINE,-296,"OUMS-23",primary,large_intestine,colon,NS,NS,carcinoma,adenocarcinoma,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"epithelial-like","Dulbecco's modified Eagle's medium with 10% fetal bovine serum","NA",NaN,NA,NaN,colorectal,colorectal,Colorectal:Carcinoma,137.2592429,COAD/READ,
SNGM_ENDOMETRIUM,-974,"SNG-M",metastasis,endometrium,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,52,asian,japan,Asian,lymph_node,intermediately differentiated adenocarcinoma,CCLE,HSSRB,"epithelial-like","Ham's F12 medium with 20% fetal bovine serum","NA",NaN,NA,NaN,endometrium,endometrium,Endometrium:Carcinoma,788.4232098,UCEC,
OUMS27_BONE,-1150,"OUMS-27",primary,bone,NS,NS,NS,chondrosarcoma,NS,NS,NS,male,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"Elongated polygonal","DMEM+10%FBS","NA",10,<undefined>,NaN,chondrosarcoma,chondrosarcoma,Bone:Sarcoma_Chondro,NaN,SARC,
PL45_PANCREAS,-1171,"PL45",primary,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,male,<undefined>,NaN,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NA,"NA","NA","NA",NaN,NA,NaN,pancreas,pancreas,NA,NaN,PAAD,
NCIH2347_LUNG,-875,"NCI-H2347",primary,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,54,caucasian,<undefined>,Caucasian,<undefined>,lung_cancer,CCLE,ATCC,"Mixed, majority adherent","RPMI 1640 +10% FBS","NA",5,<undefined>,181.8,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,250.704126,LUAD,NCIH2347
SW1990_PANCREAS,-155,"SW 1990",primary,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,male,<undefined>,56,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,pancreas,pancreas,Pancreas:Carcinoma,103.2181425,PAAD,
HS940T_FIBROBLAST,-135,"Hs 940.T",primary,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,male,<undefined>,57,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,melanoma,fibroblast_like,Skin:Melanoma,81.50141124,SKCM,
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-69,"Hs 611.T",primary,haematopoietic_and_lymphoid_tissue,spleen,NS,NS,lymphoid_neoplasm,Hodgkin_lymphoma,NS,NS,female,<undefined>,48,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,lymphoma_Hodgkin,lymphoma_Hodgkin,Lymphoma:Hodgkin,73.30584648,NA,
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-285,"Toledo",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,female,adult,NaN,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"suspension, lymphoblast","RPMI-1640 + 10% FBS","NA",5,<undefined>,51.4,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,88.11498549,DLBC,
RERFGC1B_STOMACH,-144,"RERF-GC-1B",metastasis,stomach,NS,NS,NS,carcinoma,NS,NS,NS,male,<undefined>,41,asian,japan,Asian,lymph_node,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,stomach,stomach,Gastric:Carcinoma,113.3381055,STAD,
HT1080_SOFT_TISSUE,-54,"HT-1080",metastasis,soft_tissue,fibrous_tissue_and_uncertain_origin,NS,NS,fibrosarcoma,NS,NS,NS,male,<undefined>,35,caucasian,<undefined>,Caucasian,acetabulum,fibrosarcoma_cancer,CCLE,ATCC,"Epithelial Adherent","EMEM+10%FBS","NA",5,<undefined>,42.7,soft_tissue,soft_tissue,Soft_Tissue:Sarcoma_Fibro,79.58792792,SARC,
NCIH2087_LUNG,-841,"NCI-H2087",metastasis,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,69,caucasian,<undefined>,Caucasian,lymph_node,lung_cancer,CCLE,ATCC,"<undefined>","DMEM:F12 (1:1) + 10% FBS","0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES",5,<undefined>,104.2,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,212.0987614,LUAD,
COV318_OVARY,-256,"COV318",primary,ovary,NS,NS,NS,carcinoma,NS,NS,NS,female,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ECACC,"Polyglonal and fusiform adherent","DMEM + 10% FBS","2mM Glutamine",5,<undefined>,93.1,ovary,ovary,Ovary:Carcinoma,99.50888996,OV,
NCIH2085_LUNG,-451,"NCI-H2085",primary,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,45,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"<undefined>","DMEM:F12 (1:1) + 10% FBS","0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES",5,<undefined>,98.9,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,111.5684726,LUAD,NCIH2085
NCIH510_LUNG,-871,"NCI-H510",primary,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,56,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"mixed line","F-12K  ATCC  + 10% FBS","NA",5,<undefined>,979,lung_small_cell,lung_small_cell,Lung:SCLC,259.731865,SCLC,NCIH510
CAKI1_KIDNEY,-433,"Caki-1",metastasis,kidney,NS,NS,NS,carcinoma,clear_cell_renal_cell_carcinoma,NS,NS,male,<undefined>,49,caucasian,<undefined>,Caucasian,skin,clear_cell_carcinoma,CCLE,ATCC,"Adherent epithelial.","McCoy's 5A +10%FBS","NA",5,<undefined>,88.3,kidney,kidney,Kidney:Carcinoma,116.8955149,KIRC,CAKI1
NCIH716_LARGE_INTESTINE,-491,"NCI-H716",metastasis,large_intestine,colon,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,33,caucasian,<undefined>,Caucasian,ascites,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,colorectal,colorectal,Colorectal:Carcinoma,118.5641877,COAD/READ,
NCIH2066_LUNG,-727,"NCI-H2066",primary,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,female,<undefined>,70,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"<undefined>","DMEM:HAM's F12  1:1 (ATCC catalog # 30-2006) + 5%  FBS",".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine",5,<undefined>,80.3,lung_small_cell,lung_small_cell,Lung:SCLC,161.4303635,SCLC,
NCIH1341_LUNG,-129,"NCI-H1341",metastasis,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,female,<undefined>,NaN,<undefined>,<undefined>,Caucasian,cervix,<undefined>,CCLE,ATCC,"Suspension","RPMI-1640   + 5% FBS","NA",10,<undefined>,131.8,lung_small_cell,lung_small_cell,Lung:SCLC,84.02451807,SCLC,
NCIH2029_LUNG,-298,"NCI-H2029",metastasis,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,female,<undefined>,69,caucasian,<undefined>,Caucasian,lymph_node,<undefined>,CCLE,ATCC,"<undefined>","DMEM:HAM's F12  1:1  + 5%  FBS",".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine",5,<undefined>,171.6,lung_small_cell,lung_small_cell,Lung:SCLC,89.90036362,SCLC,
C3A_LIVER,-1021,"C3A",primary,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS,male,<undefined>,15,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NA,"NA","NA","NA",NaN,NA,NaN,liver,liver,NA,NaN,LIHC,
SW480_LARGE_INTESTINE,-842,"SW480",primary,large_intestine,colon,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,50,caucasian,<undefined>,Caucasian,<undefined>,colon_cancer,CCLE,ATCC,"Epithelial adherent","L15+10%FBS","NA",5,<undefined>,56.4,colorectal,colorectal,Colorectal:Carcinoma,240.1277804,COAD/READ,
HS746T_STOMACH,-616,"Hs 746T",metastasis,stomach,NS,NS,NS,carcinoma,NS,NS,NS,male,<undefined>,74,caucasian,<undefined>,Caucasian,muscle,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,stomach,stomach,Gastric:Carcinoma,130.8366927,STAD,
LU65_LUNG,-438,"LU65",primary,lung,NS,NS,NS,carcinoma,non_small_cell_carcinoma,NS,NS,male,<undefined>,64,asian,<undefined>,Asian,<undefined>,lung_cancer,CCLE,JCRB,"Lymphocyte like with partially attached cells","RPMI 1640+10%FBS","NA",5,<undefined>,NaN,lung_NSC,lung_NSC,Lung:NSCLC_Large_Cell,139.7910668,NA,
HS739T_FIBROBLAST,-413,"Hs 739.T",primary,breast,NS,NS,NS,carcinoma,NS,NS,NS,female,<undefined>,52,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,<undefined>,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,breast,fibroblast_like,NA,147.0067171,NA,
SNUC2A_LARGE_INTESTINE,-967,"SNU-C2A",primary,large_intestine,caecum,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,43,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,colorectal,colorectal,Colorectal:Carcinoma,667.1912736,COAD/READ,
HEC151_ENDOMETRIUM,-972,"HEC-151",primary,endometrium,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,NaN,asian,<undefined>,Asian,<undefined>,<undefined>,CCLE,HSSRB,"epithelial-like","Eagle's minimal essential medium with 15%  fetal calf serum","NA",NaN,NA,NaN,endometrium,endometrium,Endometrium:Carcinoma,741.7712612,UCEC,
MSTO211H_PLEURA,-335,"MSTO-211H",metastasis,pleura,NS,NS,NS,mesothelioma,NS,NS,NS,male,<undefined>,62,caucasian,<undefined>,Caucasian,pleura,lung_cancer,CCLE,ATCC,"adherenet","RPMI+10%FBS","NA",5,<undefined>,35.6,mesothelioma,mesothelioma,Lung:Mesothelioma,124.150508,MESO,
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-654,"Raji",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,Burkitt_lymphoma,NS,NS,male,<undefined>,12,african,<undefined>,African_american,<undefined>,lymphoma,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,lymphoma_Burkitt,lymphoma_Burkitt,Lymphoma:NH_B_cell,170.4549408,DLBC,
SKMEL1_SKIN,-465,"SK-MEL-1",metastasis,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,male,<undefined>,29,caucasian,<undefined>,Caucasian,lymph_node,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,melanoma,melanoma,Skin:Melanoma,112.654321,SKCM,
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-953,"SUP-T1",metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,male,<undefined>,8,caucasian,<undefined>,Caucasian,pleura,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,T-cell_ALL,T-cell_ALL,Leukemia:ALL,509.7698434,ALL,
JHH7_LIVER,-848,"JHH-7",primary,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS,male,<undefined>,53,asian,japan,Asian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,liver,liver,Liver:HCC,257.2902848,LIHC,
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-612,"HuT 102",primary,haematopoietic_and_lymphoid_tissue,skin,NS,NS,lymphoid_neoplasm,mycosis_fungoides-Sezary_syndrome,NS,NS,male,<undefined>,26,african_american,<undefined>,African_american,<undefined>,mycosis_fungoides,CCLE,ATCC,"suspension","RPMI+10%FBS","<undefined>",5,<undefined>,NaN,lymphoma_other,T-cell_lymphoma_other,NA,135.5808971,NA,
5637_URINARY_TRACT,-905,"5637",primary,urinary_tract,bladder,NS,NS,carcinoma,NS,NS,NS,male,<undefined>,68,caucasian,<undefined>,Asian,<undefined>,<undefined>,CCLE,<undefined>,"adherent","RPMI1640+10%FBS","NA",5,<undefined>,60.9,urinary_tract,urinary_tract,Bladder:Carcinoma,278.0195779,BLCA,5637
HCC38_BREAST,-276,"HCC38",primary,breast,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,<undefined>,50,caucasian,<undefined>,Caucasian,<undefined>,breast_cancer,CCLE,ATCC,"adherent, single cells and loosely attached clusters","RPMI-1640 + 10% FBS","NA",5,<undefined>,103.3,breast,breast,Breast:Carcinoma,96.75975762,BRCA,HCC38
DU4475_BREAST,-258,"DU4475",metastasis,breast,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,<undefined>,62,caucasian,<undefined>,Caucasian,breast,breast_cancer,CCLE,ATCC,"suspension, multicell aggregates","RPMI-1640 + 10% FBS","NA",5,<undefined>,145.6,breast,breast,Breast:Carcinoma,107.2866384,BRCA,DU4475
